"URI","rdf-schema#label","areaTotal","populationDensity","anthem_label","anthem","areaTotal","capital_label","capital","currency_label","currency","demonym","dissolutionDate","dissolutionYear","ethnicGroup_label","ethnicGroup","flag","foundingDate","foundingYear","governmentType_label","governmentType","language_label","language","leader_label","leader","leaderTitle","longName","motto","officialLanguage_label","officialLanguage","populationDensity","populationTotal","timeZone_label","timeZone"
"URI","http://www.w3.org/2000/01/rdf-schema#label","http://dbpedia.org/ontology/PopulatedPlace/areaTotal","http://dbpedia.org/ontology/PopulatedPlace/populationDensity","http://dbpedia.org/ontology/anthem","http://dbpedia.org/ontology/anthem","http://dbpedia.org/ontology/areaTotal","http://dbpedia.org/ontology/capital","http://dbpedia.org/ontology/capital","http://dbpedia.org/ontology/currency","http://dbpedia.org/ontology/currency","http://dbpedia.org/ontology/demonym","http://dbpedia.org/ontology/dissolutionDate","http://dbpedia.org/ontology/dissolutionYear","http://dbpedia.org/ontology/ethnicGroup","http://dbpedia.org/ontology/ethnicGroup","http://dbpedia.org/ontology/flag","http://dbpedia.org/ontology/foundingDate","http://dbpedia.org/ontology/foundingYear","http://dbpedia.org/ontology/governmentType","http://dbpedia.org/ontology/governmentType","http://dbpedia.org/ontology/language","http://dbpedia.org/ontology/language","http://dbpedia.org/ontology/leader","http://dbpedia.org/ontology/leader","http://dbpedia.org/ontology/leaderTitle","http://dbpedia.org/ontology/longName","http://dbpedia.org/ontology/motto","http://dbpedia.org/ontology/officialLanguage","http://dbpedia.org/ontology/officialLanguage","http://dbpedia.org/ontology/populationDensity","http://dbpedia.org/ontology/populationTotal","http://dbpedia.org/ontology/timeZone","http://dbpedia.org/ontology/timeZone"
"URI","rdf-schema#Literal","squareKilometre","inhabitantsPerSquareKilometre","XMLSchema#string","Work","XMLSchema#double","XMLSchema#string","City","XMLSchema#string","Currency","22-rdf-syntax-ns#langString","XMLSchema#date","XMLSchema#gYear","XMLSchema#string","EthnicGroup","XMLSchema#string","XMLSchema#date","XMLSchema#gYear","XMLSchema#string","GovernmentType","XMLSchema#string","Language","XMLSchema#string","Person","22-rdf-syntax-ns#langString","22-rdf-syntax-ns#langString","XMLSchema#string","XMLSchema#string","Language","XMLSchema#double","XMLSchema#nonNegativeInteger","XMLSchema#string","owl#Thing"
"http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2000/01/rdf-schema#Literal","http://dbpedia.org/datatype/squareKilometre","http://dbpedia.org/datatype/inhabitantsPerSquareKilometre","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Work","http://www.w3.org/2001/XMLSchema#double","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/City","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Currency","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString","http://www.w3.org/2001/XMLSchema#date","http://www.w3.org/2001/XMLSchema#gYear","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/EthnicGroup","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2001/XMLSchema#date","http://www.w3.org/2001/XMLSchema#gYear","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/GovernmentType","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Language","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Person","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Language","http://www.w3.org/2001/XMLSchema#double","http://www.w3.org/2001/XMLSchema#nonNegativeInteger","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing"
"http://dbpedia.org/resource/%5CNetherlands","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%85land_Islands","Åland Islands","{1579.89274730496|1580.0}","{18.139079408324108|18.14}","Ålänningens sång","http://dbpedia.org/resource/%C3%85l%C3%A4nningens_s%C3%A5ng","{1.57989e+09|1.58e+09}","Mariehamn","http://dbpedia.org/resource/Mariehamn","NULL","NULL","Ålandic Ålandish","NULL","NULL","NULL","NULL","Flag of Åland.svg","1920-05-07","NULL","Autonomous administrative division","http://dbpedia.org/resource/Autonomous_administrative_division","Swedish language","http://dbpedia.org/resource/Swedish_language","{Peter Lindbäck|Camilla Gunell}","{http://dbpedia.org/resource/Peter_Lindb%C3%A4ck|http://dbpedia.org/resource/Camilla_Gunell}","{Premier|Governora}","Åland Islands","Islands of Peace","Swedish language","http://dbpedia.org/resource/Swedish_language","{18.1391|18.14}","28666","Eastern European Time","http://dbpedia.org/resource/Eastern_European_Time"
"http://dbpedia.org/resource/%C3%8Ele_Amsterdam","Île Amsterdam","NULL","NULL","La Marseillaise","http://dbpedia.org/resource/La_Marseillaise","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Flag of the French Southern and Antarctic Lands.svg","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{Amsterdam Island|(New Amsterdam)}","Liberté égalité fraternité","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%8Ele_Fourchue","Île Fourchue","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Atlantic Time Zone","http://dbpedia.org/resource/Atlantic_Time_Zone"
"http://dbpedia.org/resource/%C3%8Ele_Saint-Paul","Île Saint-Paul","NULL","NULL","La Marseillaise","http://dbpedia.org/resource/La_Marseillaise","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Flag of the French Southern and Antarctic Lands.svg","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Saint Paul Island","Liberté égalité fraternité","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%8Eles_des_Saintes","Îles des Saintes","{12.8|12.6909417406464}","{267.0|269.306255583356}","La Marseillaise","http://dbpedia.org/resource/La_Marseillaise","{1.26909e+07|1.28e+07}","Fond-du-Curé les Saintes","http://dbpedia.org/resource/Fond-du-Cur%C3%A9,_les_Saintes","{Euro|Euro sign}","{http://dbpedia.org/resource/Euro|http://dbpedia.org/resource/Euro_sign}","NULL","NULL","NULL","Ethnic groups in Europe","http://dbpedia.org/resource/Ethnic_groups_in_Europe","NULL","NULL","NULL","Dependent territory","http://dbpedia.org/resource/Dependent_territory","{French language|French-based creole languages}","{http://dbpedia.org/resource/French_language|http://dbpedia.org/resource/French-based_creole_languages}","{François Hollande|Victorin Lurel}","{http://dbpedia.org/resource/Fran%C3%A7ois_Hollande|http://dbpedia.org/resource/Victorin_Lurel}","{Senator|Prefect|Deputy|President of France|General council representative}","NULL","NULL","French language","http://dbpedia.org/resource/French_language","{267.0|269.306}","NULL","Atlantic Time Zone","http://dbpedia.org/resource/Atlantic_Time_Zone"
"http://dbpedia.org/resource/%C3%9Cberlingen__Reichsstadt_%C3%9Cberlingen__1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1803-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","1268-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
